"汉字","读音","第二读音","第三读音","第四读音","ID"
"啊","a",,,,1
"阿","a","e",,,2
"挨","ai",,,,4
"哎","ai",,,,5
"唉","ai",,,,6
"哀","ai",,,,7
"皑","ai",,,,8
"蔼","ai",,,,10
"矮","ai",,,,11
"艾","ai","yi",,,12
"碍","ai",,,,13
"爱","ai",,,,14
"鞍","an",,,,16
"氨","an",,,,17
"安","an",,,,18
"俺","an",,,,19
"按","an",,,,20
"岸","an",,,,22
"胺","an",,,,23
"案","an",,,,24
"肮","ang",,,,25
"盎","ang",,,,27
"凹","ao",,,,28
"敖","ao",,,,29
"熬","ao",,,,30
"翱","ao",,,,31
"袄","ao",,,,32
"奥","ao",,,,34
"懊","ao",,,,35
"澳","ao",,,,36
"芭","ba",,,,37
"扒","ba","pa",,,39
"叭","ba",,,,40
"吧","ba",,,,41
"笆","ba",,,,42
"八","ba",,,,43
"巴","ba",,,,45
"拔","ba",,,,46
"跋","ba",,,,47
"靶","ba",,,,48
"把","ba",,,,49
"坝","ba",,,,51
"霸","ba",,,,52
"罢","ba",,,,53
"爸","ba",,,,54
"白","bai",,,,55
"柏","bai","bo",,,56
"摆","bai",,,,58
"佰","bai",,,,59
"败","bai",,,,60
"拜","bai",,,,61
"稗","bai",,,,62
"班","ban",,,,64
"搬","ban",,,,65
"扳","ban",,,,66
"般","ban",,,,67
"颁","ban",,,,68
"版","ban",,,,70
"扮","ban",,,,71
"拌","ban",,,,72
"伴","ban",,,,73
"瓣","ban",,,,74
"办","ban",,,,76
"绊","ban",,,,77
"邦","bang",,,,78
"帮","bang",,,,79
"梆","bang",,,,80
"榜","bang",,,,81
"绑","bang",,,,83
"棒","bang",,,,84
"磅","bang","pang",,,85
"蚌","bang","beng",,,86
"镑","bang",,,,87
"谤","bang",,,,89
"苞","bao",,,,90
"胞","bao",,,,91
"包","bao",,,,92
"褒","bao",,,,93
"剥","bao","bo",,,94
"雹","bao",,,,96
"保","bao",,,,97
"堡","bao",,,,98
"饱","bao",,,,99
"宝","bao",,,,100
"抱","bao",,,,101
"暴","bao","pu",,,103
"豹","bao",,,,104
"鲍","bao",,,,105
"爆","bao",,,,106
"杯","bei",,,,107
"碑","bei",,,,108
"卑","bei",,,,110
"北","bei",,,,111
"辈","bei",,,,112
"背","bei",,,,113
"贝","bei",,,,114
"倍","bei",,,,116
"狈","bei",,,,117
"备","bei",,,,118
"惫","bei",,,,119
"焙","bei",,,,120
"奔","ben",,,,122
"苯","ben",,,,123
"本","ben",,,,124
"笨","ben",,,,125
"崩","beng",,,,126
"绷","beng",,,,127
"泵","beng",,,,129
"蹦","beng",,,,130
"迸","beng",,,,131
"逼","bi",,,,132
"鼻","bi",,,,133
"比","bi",,,,134
"笔","bi",,,,136
"彼","bi",,,,137
"碧","bi",,,,138
"蓖","bi",,,,139
"蔽","bi",,,,140
"毙","bi",,,,142
"毖","bi",,,,143
"币","bi",,,,144
"庇","bi",,,,145
"痹","bi",,,,146
"敝","bi",,,,148
"弊","bi",,,,149
"必","bi",,,,150
"辟","bi","pi",,,151
"臂","bi",,,,153
"避","bi",,,,154
"鞭","bian",,,,156
"边","bian",,,,157
"编","bian",,,,158
"贬","bian",,,,159
"扁","bian",,,,160
"变","bian",,,,162
"卞","bian",,,,163
"辨","bian",,,,164
"辩","bian",,,,165
"辫","bian",,,,166
"遍","bian",,,,167
"标","biao",,,,168
"彪","biao",,,,169
"表","biao",,,,171
"鳖","bie",,,,172
"憋","bie",,,,173
"别","bie",,,,174
"瘪","bie",,,,175
"斌","bin",,,,177
"濒","bin",,,,178
"滨","bin",,,,179
"宾","bin",,,,180
"摈","bin",,,,181
"兵","bing",,,,182
"柄","bing",,,,184
"丙","bing",,,,185
"秉","bing",,,,186
"饼","bing",,,,187
"炳","bing",,,,188
"并","bing",,,,190
"玻","bo",,,,191
"菠","bo",,,,192
"播","bo",,,,193
"拨","bo",,,,194
"钵","bo",,,,195
"博","bo",,,,197
"勃","bo",,,,198
"搏","bo",,,,199
"铂","bo",,,,200
"箔","bo",,,,201
"帛","bo",,,,203
"舶","bo",,,,204
"脖","bo",,,,205
"膊","bo",,,,206
"渤","bo",,,,207
"驳","bo",,,,209
"捕","bu",,,,210
"卜","bu","bo",,,211
"哺","bu",,,,212
"埠","bu",,,,214
"不","bu",,,,215
"布","bu",,,,216
"步","bu",,,,217
"簿","bu",,,,218
"怖","bu",,,,220
"擦","ca",,,,221
"猜","cai",,,,222
"裁","cai",,,,223
"材","cai",,,,224
"财","cai",,,,226
"睬","cai",,,,227
"踩","cai",,,,228
"采","cai",,,,229
"彩","cai",,,,230
"蔡","cai",,,,232
"餐","can",,,,233
"参","can","cen","shen",,234
"蚕","can",,,,235
"残","can",,,,236
"惨","can",,,,238
"灿","can",,,,239
"苍","cang",,,,240
"舱","cang",,,,241
"仓","cang",,,,242
"沧","cang",,,,243
"操","cao",,,,245
"糙","cao",,,,246
"槽","cao",,,,247
"曹","cao",,,,248
"草","cao",,,,249
"策","ce",,,,251
"侧","ce",,,,252
"册","ce",,,,253
"测","ce",,,,254
"层","ceng",,,,255
"插","cha",,,,257
"叉","cha",,,,258
"茬","cha",,,,259
"茶","cha",,,,260
"查","cha",,,,261
"碴","cha",,,,262
"察","cha",,,,264
"岔","cha",,,,265
"差","cha","ci","chai",,266
"诧","cha",,,,267
"拆","chai",,,,268
"豺","chai",,,,270
"搀","chan",,,,271
"掺","chan",,,,272
"蝉","chan",,,,273
"馋","chan",,,,274
"谗","chan",,,,275
"铲","chan",,,,277
"产","chan",,,,278
"阐","chan",,,,279
"颤","chan",,,,280
"昌","chang",,,,281
"猖","chang",,,,282
"尝","chang",,,,284
"常","chang",,,,285
"长","chang","zhang",,,286
"偿","chang",,,,287
"肠","chang",,,,288
"厂","chang",,,,289
"畅","chang",,,,291
"唱","chang",,,,292
"倡","chang",,,,293
"超","chao",,,,294
"抄","chao",,,,295
"钞","chao",,,,296
"嘲","chao",,,,298
"潮","chao",,,,299
"巢","chao",,,,300
"吵","chao",,,,301
"炒","chao",,,,302
"车","che","ju",,,303
"扯","che",,,,304
"撤","che",,,,305
"彻","che",,,,307
"澈","che",,,,308
"郴","chen",,,,309
"臣","chen",,,,310
"辰","chen",,,,311
"晨","chen",,,,313
"忱","chen",,,,314
"沉","chen",,,,315
"陈","chen",,,,316
"趁","chen",,,,317
"衬","chen",,,,318
"称","cheng","chen",,,320
"城","cheng",,,,321
"橙","cheng",,,,322
"成","cheng",,,,323
"呈","cheng",,,,324
"乘","cheng","sheng",,,325
"惩","cheng",,,,327
"澄","cheng",,,,328
"诚","cheng",,,,329
"承","cheng",,,,330
"逞","cheng",,,,331
"骋","cheng",,,,332
"秤","cheng",,,,333
"痴","chi",,,,335
"持","chi",,,,336
"匙","chi","shi",,,337
"池","chi",,,,338
"迟","chi",,,,339
"驰","chi",,,,341
"耻","chi",,,,342
"齿","chi",,,,343
"侈","chi",,,,344
"尺","chi",,,,345
"翅","chi",,,,347
"斥","chi",,,,348
"炽","chi",,,,349
"充","chong",,,,350
"冲","chong",,,,351
"崇","chong",,,,353
"宠","chong",,,,354
"抽","chou",,,,355
"酬","chou",,,,356
"畴","chou",,,,357
"踌","chou",,,,358
"稠","chou",,,,359
"筹","chou",,,,361
"仇","chou",,,,362
"绸","chou",,,,363
"瞅","chou",,,,364
"丑","chou",,,,365
"初","chu",,,,367
"出","chu",,,,368
"橱","chu",,,,369
"厨","chu",,,,370
"躇","chu",,,,371
"锄","chu",,,,372
"雏","chu",,,,373
"滁","chu",,,,374
"楚","chu",,,,376
"础","chu",,,,377
"储","chu",,,,378
"矗","chu",,,,379
"搐","chu",,,,380
"处","chu",,,,382
"揣","chuai",,,,383
"川","chuan",,,,384
"穿","chuan",,,,385
"椽","chuan",,,,386
"船","chuan",,,,388
"喘","chuan",,,,389
"串","chuan",,,,390
"疮","chuang",,,,391
"窗","chuang",,,,392
"幢","chuang","zhuang",,,393
"床","chuang",,,,394
"闯","chuang",,,,395
"创","chuang",,,,396
"炊","chui",,,,398
"捶","chui",,,,399
"锤","chui",,,,400
"垂","chui",,,,401
"春","chun",,,,402
"椿","chun",,,,403
"唇","chun",,,,405
"淳","chun",,,,406
"纯","chun",,,,407
"蠢","chun",,,,408
"戳","chuo",,,,409
"疵","ci",,,,411
"茨","ci",,,,412
"磁","ci",,,,413
"雌","ci",,,,414
"辞","ci",,,,415
"慈","ci",,,,416
"瓷","ci",,,,417
"词","ci",,,,418
"刺","ci",,,,420
"赐","ci",,,,421
"次","ci",,,,422
"聪","cong",,,,423
"葱","cong",,,,424
"匆","cong",,,,426
"从","cong",,,,427
"丛","cong",,,,428
"凑","cou",,,,429
"粗","cu",,,,430
"醋","cu",,,,431
"促","cu",,,,433
"蹿","cuan",,,,434
"篡","cuan",,,,435
"窜","cuan",,,,436
"崔","cui",,,,438
"催","cui",,,,439
"脆","cui",,,,440
"瘁","cui",,,,441
"粹","cui",,,,442
"淬","cui",,,,443
"翠","cui",,,,444
"存","cun",,,,446
"寸","cun",,,,447
"磋","cuo",,,,448
"撮","cuo",,,,449
"搓","cuo",,,,450
"挫","cuo",,,,452
"错","cuo",,,,453
"搭","da",,,,454
"达","da",,,,455
"答","da",,,,456
"打","da",,,,458
"大","da","tai",,,459
"呆","dai",,,,460
"歹","dai",,,,461
"傣","dai",,,,462
"带","dai",,,,464
"殆","dai",,,,465
"代","dai",,,,466
"贷","dai",,,,467
"袋","dai",,,,468
"逮","dai",,,,470
"怠","dai",,,,471
"耽","dan",,,,472
"担","dan",,,,473
"丹","dan",,,,474
"单","dan",,,,475
"掸","dan",,,,477
"胆","dan",,,,478
"旦","dan",,,,479
"氮","dan",,,,480
"但","dan",,,,481
"淡","dan",,,,483
"诞","dan",,,,484
"弹","dan","tan",,,485
"蛋","dan",,,,486
"当","dang",,,,487
"党","dang",,,,489
"荡","dang",,,,490
"档","dang",,,,491
"刀","dao",,,,492
"捣","dao",,,,493
"蹈","dao",,,,494
"岛","dao",,,,496
"祷","dao",,,,497
"导","dao",,,,498
